spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
-0.5,1.94,1.99,1.8,3.8,4.33,2024-10-05T14:00:00.000Z,9902,8654,False,1,4,0,1.0,0.792,9.2,3.4,39.0,1.8,14.6,1.6,1.852,12.4,4.2,61.0,3.2,29.6,0.8,0.109,0.294,0.129,0.381,1.0,0.944,14.6,3.6,43.2,0.8,26.6,1.6,1.69,15.6,4.6,56.8,3.4,32.8,1.0,0.068,0.278,0.103,0.348
0.75,1.92,2.01,5,3.9,1.65,2024-10-19T16:30:00.000Z,8678,9825,True,2,0,2,2.2,2.196,17.4,7.2,45.8,4.6,41.0,1.2,1.124,16.6,5.0,54.2,2.0,27.2,2.2,0.126,0.306,0.072,0.24,1.2,1.75,17.6,5.6,44.6,2.8,29.8,1.6,1.242,12.4,5.8,55.4,2.6,24.0,1.2,0.068,0.214,0.129,0.276
-0.75,2.04,1.89,1.85,3.9,3.8,2024-10-26T14:00:00.000Z,8678,10252,False,1,1,1,1.0,1.64,16.8,5.0,43.8,2.4,29.8,1.2,0.98,10.0,4.4,56.2,2.0,21.0,1.2,0.06,0.2,0.12,0.273,2.2,1.37,11.6,4.2,56.8,3.0,26.4,1.2,0.986,10.2,3.8,43.2,2.0,18.2,2.2,0.19,0.524,0.118,0.316
-0.75,1.85,2.08,1.65,4.33,4.75,2024-10-26T14:00:00.000Z,9937,9902,True,4,3,2,0.8,1.024,11.2,3.2,44.6,2.2,18.8,1.8,2.1,14.6,6.6,55.4,4.2,26.8,0.6,0.071,0.25,0.123,0.273,1.8,1.448,9.8,5.6,49.8,2.8,24.0,2.2,1.812,20.0,7.4,50.2,2.8,43.4,0.8,0.184,0.321,0.11,0.297
-1,1.98,1.95,1.62,4.5,4.5,2024-10-26T14:00:00.000Z,10204,8602,True,2,2,1,1.4,0.878,10.0,4.0,43.6,1.2,19.8,2.8,2.332,14.8,7.0,56.4,3.6,44.6,0.0,0.14,0.35,0.189,0.4,1.6,1.33,14.2,4.6,55.8,3.2,27.4,1.6,1.858,11.8,4.0,44.2,3.0,25.2,1.6,0.113,0.348,0.136,0.4
-2.5,1.94,1.99,1.11,10,17,2024-10-26T14:00:00.000Z,8456,8466,True,1,0,2,1.0,1.402,9.6,3.8,48.2,2.6,18.8,2.6,2.354,18.8,6.4,51.8,3.2,39.0,0.2,0.104,0.263,0.138,0.406,2.0,1.69,21.8,7.6,65.8,1.8,54.0,1.4,1.354,7.6,3.6,34.2,2.6,16.6,2.2,0.092,0.263,0.184,0.389
1,1.98,1.95,5.5,4.2,1.57,2024-11-02T15:00:00.000Z,8678,8456,True,2,1,2,1.8,1.846,22.6,7.8,66.4,2.2,54.6,1.2,1.204,7.0,3.0,33.6,2.6,15.4,2.2,0.08,0.231,0.171,0.4,1.2,1.348,15.0,4.2,45.8,2.2,27.6,1.2,1.188,11.6,5.4,54.2,2.4,23.6,1.4,0.08,0.286,0.103,0.222
-1.5,2.01,1.92,1.4,5,7.5,2024-11-02T15:00:00.000Z,10204,8650,False,1,2,0,2.0,1.26,13.8,4.6,52.2,3.0,26.6,2.0,2.06,13.4,5.2,47.8,3.0,29.8,1.6,0.145,0.435,0.149,0.385,2.0,1.748,12.6,6.4,55.8,3.2,28.6,0.8,0.852,11.4,3.8,44.2,2.0,23.6,2.6,0.159,0.312,0.07,0.211
0,1.95,1.98,2.63,3.4,2.63,2024-11-02T15:00:00.000Z,8668,8466,False,0,1,0,1.2,1.038,10.8,4.4,39.8,2.0,19.6,0.6,1.234,14.0,3.0,60.2,1.4,29.8,1.8,0.111,0.273,0.043,0.2,1.0,1.22,9.4,3.4,48.0,2.2,18.0,2.2,2.41,19.2,6.0,52.0,3.0,42.2,0.2,0.106,0.294,0.115,0.367
-0.25,2.05,1.88,2.25,3.5,3.1,2024-11-02T15:00:00.000Z,9902,8197,True,1,1,1,1.6,1.148,10.4,2.4,49.8,1.8,24.2,2.0,2.348,21.0,7.0,50.2,4.8,39.0,1.4,0.154,0.667,0.095,0.286,1.4,1.214,12.2,4.0,45.4,2.8,21.2,2.6,2.588,14.4,7.2,54.6,5.0,25.2,0.4,0.115,0.35,0.181,0.361
-0.5,2.07,1.86,2.15,3.5,3.4,2024-11-02T15:00:00.000Z,10203,8654,True,3,0,2,1.6,1.882,16.0,6.0,46.8,3.2,30.6,2.0,1.494,13.8,4.4,53.2,3.0,29.2,1.4,0.1,0.267,0.145,0.455,1.4,1.316,14.2,4.8,38.2,2.6,27.0,1.0,1.304,16.2,4.2,61.8,1.4,31.2,1.6,0.099,0.292,0.062,0.238
