index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
129,27/11/2023,Fulham,Wolves,3,2,2.38,3.3,3,-0.25,2.08,1.85
130,02/12/2023,Arsenal,Wolves,2,1,1.25,5.5,12,-1.75,1.98,1.95
131,02/12/2023,Brentford,Luton,3,1,1.45,4.5,6.5,-1,1.9,2.03
132,02/12/2023,Burnley,Sheffield United,5,0,1.8,3.6,4.5,-0.75,1.97,1.96
133,02/12/2023,Nott'm Forest,Everton,0,1,2.75,3.25,2.6,0,2,1.93
134,02/12/2023,Newcastle,Man United,1,0,1.91,3.75,3.8,-0.5,2.01,1.92
135,03/12/2023,Bournemouth,Aston Villa,2,2,3.4,4,1.95,0.25,1.98,1.95
136,03/12/2023,Chelsea,Brighton,3,2,1.73,4.2,4.2,-1,1.99,1.94
137,03/12/2023,Liverpool,Fulham,4,3,1.25,6.5,9,-1.75,1.97,1.96
138,03/12/2023,West Ham,Crystal Palace,1,1,2,3.5,3.8,-0.5,1.94,1.99
139,03/12/2023,Man City,Tottenham,3,3,1.29,6,9,-2,2.11,1.82
140,05/12/2023,Wolves,Burnley,1,0,1.85,3.6,4.2,-0.5,1.95,1.95
141,05/12/2023,Luton,Arsenal,3,4,17,7,1.18,1.75,2.14,1.8
142,06/12/2023,Brighton,Brentford,2,1,1.91,3.8,3.75,-0.75,1.95,1.95
143,06/12/2023,Crystal Palace,Bournemouth,0,2,2.25,3.5,3.1,-0.25,2.02,1.88
144,06/12/2023,Fulham,Nott'm Forest,5,0,2,3.4,3.75,-0.5,2.05,1.85
145,06/12/2023,Sheffield United,Liverpool,0,2,12,7.5,1.2,2,2.03,1.78
146,06/12/2023,Aston Villa,Man City,1,0,4.75,4.2,1.7,1,1.82,2.08
147,06/12/2023,Man United,Chelsea,2,1,2.88,3.4,2.45,0,2.09,1.81
148,07/12/2023,Everton,Newcastle,3,0,3.25,3.25,2.25,0.25,1.89,2.04
149,07/12/2023,Tottenham,West Ham,1,2,1.75,4.2,4.2,-0.75,1.84,2.09
150,09/12/2023,Crystal Palace,Liverpool,1,2,6,4.5,1.5,1,2.07,1.83
151,09/12/2023,Brighton,Burnley,1,1,1.5,4.75,6,-1,1.94,1.99
152,09/12/2023,Man United,Bournemouth,0,3,1.55,4.33,5.75,-1,2.05,1.75
153,09/12/2023,Sheffield United,Brentford,1,0,4.2,3.8,1.75,0.75,1.91,2.02
154,09/12/2023,Wolves,Nott'm Forest,1,1,1.85,3.6,4.33,-0.5,1.99,1.94
155,09/12/2023,Aston Villa,Arsenal,1,0,3.3,3.6,2.1,0.5,1.9,2.03
156,10/12/2023,Everton,Chelsea,2,0,3.1,3.5,2.25,0,1.84,2.06
157,10/12/2023,Fulham,West Ham,5,0,2.38,3.5,2.9,-0.25,1.88,2.02
158,10/12/2023,Luton,Man City,1,2,17,8,1.14,2,1.87,2.03
159,10/12/2023,Tottenham,Newcastle,4,1,2.15,3.8,3.1,-0.25,1.73,2.08
160,15/12/2023,Nott'm Forest,Tottenham,0,2,4.2,4.2,1.73,0.75,2.08,1.85
161,16/12/2023,Chelsea,Sheffield United,2,0,1.22,6.5,13,-2,1.87,2.06
162,16/12/2023,Man City,Crystal Palace,2,2,1.18,8,13,-2,2.05,1.75
163,16/12/2023,Newcastle,Fulham,3,0,1.8,3.8,4,-0.5,1.93,2
164,16/12/2023,Burnley,Everton,0,2,3.6,3.4,2.1,0.25,1.95,1.98
165,17/12/2023,Arsenal,Brighton,2,0,1.44,5,6,-1.25,2.06,1.87
166,17/12/2023,Brentford,Aston Villa,1,2,3.2,3.75,2.1,0.25,1.88,2.05
167,17/12/2023,West Ham,Wolves,3,0,2.15,3.5,3.3,-0.5,1.93,2
168,17/12/2023,Liverpool,Man United,0,0,1.3,6,8,-1.5,1.9,2.03
169,21/12/2023,Crystal Palace,Brighton,1,1,3.3,3.3,2.15,0.25,1.89,2.04
170,22/12/2023,Aston Villa,Sheffield United,1,1,1.22,6.5,12,-2,2.06,1.87
171,23/12/2023,West Ham,Man United,2,0,2.6,3.6,2.6,-0.25,1.84,2.09
172,23/12/2023,Fulham,Burnley,0,2,1.67,3.75,5.25,-0.75,1.9,2.03
173,23/12/2023,Luton,Newcastle,1,0,4.75,4.2,1.65,1,1.82,2.11
174,23/12/2023,Nott'm Forest,Bournemouth,2,3,2.75,3.4,2.55,0,2.13,1.81
175,23/12/2023,Tottenham,Everton,2,1,1.75,4.2,4,-0.75,1.89,2.04
176,23/12/2023,Liverpool,Arsenal,1,1,2.38,3.6,2.8,0,1.86,2.07
177,24/12/2023,Wolves,Chelsea,2,1,3.75,3.75,1.91,0.25,1.98,1.95
178,26/12/2023,Newcastle,Nott'm Forest,1,3,1.5,4.33,5.75,-1.25,1.89,2.04
179,26/12/2023,Bournemouth,Fulham,3,0,2.15,3.6,3.2,-0.5,1.94,1.99
180,26/12/2023,Sheffield United,Luton,2,3,2.3,3.3,3.1,-0.25,2.09,1.84
181,26/12/2023,Burnley,Liverpool,0,2,6.5,5.25,1.4,1.5,1.84,2.09
182,26/12/2023,Man United,Aston Villa,3,2,2.6,3.5,2.6,-0.25,2.04,1.89
183,27/12/2023,Brentford,Wolves,1,4,1.95,3.5,4.2,-0.25,1.94,1.99
184,27/12/2023,Chelsea,Crystal Palace,2,1,1.67,4,5,-0.75,2.07,1.86
185,27/12/2023,Everton,Man City,1,3,5.75,4,1.57,1,1.68,2.15
186,28/12/2023,Brighton,Tottenham,4,2,2.5,3.6,2.6,0,1.86,2.04
187,28/12/2023,Arsenal,West Ham,0,2,1.33,5.5,7.5,-1.5,1.78,2.03
188,30/12/2023,Luton,Chelsea,2,3,6.5,4.2,1.5,1,1.95,1.98
189,30/12/2023,Aston Villa,Burnley,3,2,1.36,5.25,7.5,-1.25,1.78,2.03
190,30/12/2023,Crystal Palace,Brentford,3,1,2.2,3.3,3.4,-0.25,1.82,2.11
191,30/12/2023,Man City,Sheffield United,2,0,1.08,11,29,-2.75,2.06,1.87
